STATION,DATE_OF_RESPONSE,LOCATION,RESPONDING_UNIT,TIME_RECEIVED,TIME_DISPATCHED,TIME_ARRIVAL,RESPONSE_TIME_MIN,DISTANCE,ALARM_STATUS,TIME_LAST_ALARM,TYPE_OF_OCCUPANCY,INJURED_CIV,INJURED_BFP,DEATH_CIV,DEATH_BFP,REMARKS,Temperature_C,Humidity_%,Wind_Speed_kmh,Precipitation_mm,Weather_Condition,Road_Condition
"Santa Cruz, Laguna",1/20/2010,"Brgy. Gatid, Santa Cruz, Laguna",,8:00 AM,8:00 AM,8:05 AM,5,4.6,FA,1/20/2010 8:00,Business,0,0,0,0,Case Closed,27.4,84,14.2,5.1,Rainy,Wet
"Santa Cruz, Laguna",2/8/2010,"Brgy. Villa Silangan, Santa Cruz Laguna",,6:25 PM,6:25 PM,6:30 PM,5,3.5,FA,2/8/2024 18:25,Grass,0,0,0,0,Case Closed,26.3,80,13.9,0,Sunny,Traffic
"Santa Cruz, Laguna",3/20/2010,"Capitol Village. Brgy. Gatid, Santa Cruz Laguna",,8:00 AM,8:00 AM,8:05 AM,5,3.3,FA,3/20/2010 8:00,Grass,0,0,0,0,Case Closed,30.8,78,12.1,0,Cloudy,Traffic
"Santa Cruz, Laguna",3/29/2010,"Brgy. Calios, Santa Cruz Laguna",,6:00 PM,6:00 PM,6:05 PM,5,0.5,FA,3/29/2010 18:00,Post,0,0,0,0,Case Closed,30.3,77,13,1.5,Rainy,Wet
"Santa Cruz, Laguna",4/1/2010,Brgy. Duhat Santa Cruz Laguna,,12:20 PM,12:20 PM,12:25 PM,5,4,FA,4/1/2010 12:20,Motor Vehicle,0,0,0,0,Case Closed,29.5,79,8.8,0,Sunny,Dry
"Santa Cruz, Laguna",4/9/2010,"Near Sunstar Mall, Brgy. Gatid Santa Cruz Laguna",,3:40 PM,3:40 PM,3:45 PM,5,4.6,FA,4/9/2010 15:40,Grass,0,0,0,0,Case Closed,31.2,81,11.3,0,Cloudy,Dry
"Santa Cruz, Laguna",5/11/2010,"Capitol Village. Brgy. Gatid, Santa Cruz Laguna",,7:15 PM,7:15 PM,7:20 PM,5,3.3,FA,5/11/2010 19:15,Grass,0,0,0,0,Case Closed,32.1,82,9.4,3.3,Rainy,Wet
"Santa Cruz, Laguna",5/23/2010,"Poblacion I Holy Family, Santa Cruz Laguna",,8:40 PM,8:40 PM,8:45 PM,5,3.3,FA,5/23/2010 20:40,Grass,0,0,0,0,Case Closed,28.6,78,10.3,4.8,Rainy,Wet
"Santa Cruz, Laguna",7/6/2010,"A Mabini St. Poblacion III, Santa Cruz Laguna",,12:30 AM,12:30 AM,12:35 AM,5,3.3,FA,7/7/2010 0:30,Motor Vehicle,0,0,0,0,Case Closed,27.4,83,8.4,8.6,Rainy,Wet
"Santa Cruz, Laguna",7/7/2010,"Quezon Ave. Sto. Angel Sur, Santa Cruz Laguna",,2:05 PM,2:05 PM,2:06 PM,1,3.3,FA,7/7/2010 14:06,Residential,0,0,0,0,Case Closed,28.5,82,8.5,3.8,Rainy,Wet
